sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
39,-0.0006803660784134992,-0.0001057113650131214,-0.0014674023277621018,-0.00022726751626578334,-0.0014674023277621018,-0.00022726751626578334,-0.0011882305,-0.00018176096,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
40,-0.000710179989837343,-0.0001103279605285934,-0.001490695571192191,-0.00023082977577359998,-0.001490695571192191,-0.00023082977577359998,-0.0011646622,-0.00017811298,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
41,-0.00074045031426067,-0.00011501437501010516,-0.0015135162211663555,-0.00023432072407558735,-0.0015135162211663555,-0.00023432072407558735,-0.0011410326,-0.00017454741,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
42,-0.0007711677900806536,-0.0001197692107916737,-0.001535873790999176,-0.00023774178907842725,-0.001535873790999176,-0.00023774178907842725,-0.0011178785,-0.00017105325,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
43,-0.0008023233449057443,-0.0001245910981697307,-0.0015577777412545402,-0.00024109436890284996,-0.0015577777412545402,-0.00024109436890284996,-0.0010951975,-0.000167629,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
44,-0.0008339080911900964,-0.00012947869481649835,-0.0015792373142176075,-0.0002443798323383817,-0.0015792373142176075,-0.0002443798323383817,-0.0010729787,-0.00016427318,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
45,-0.0008659140259987908,-0.00013443066588479273,-0.0016002967404347146,-0.0002475985534147185,-0.0016002967404347146,-0.0002475985534147185,-0.0010529713,-0.00016093606,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
46,-0.0008983326029920136,-0.0001394457226751911,-0.0016209288496611407,-0.0002507528395199188,-0.0016209288496611407,-0.0002507528395199188,-0.0010316055,-0.00015771431,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
47,-0.0009311554521627841,-0.00014452260242705964,-0.0016411424585385248,-0.0002538439875934273,-0.0016411424585385248,-0.0002538439875934273,-0.0010106805,-0.0001545574,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
48,-0.00096437437026907,-0.0001496600674454385,-0.0016609459053142928,-0.0002568732509189431,-0.0016609459053142928,-0.0002568732509189431,-0.0009901724,-0.00015146317,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
49,-0.000997981320724648,-0.0001548569048782156,-0.0016803475227789022,-0.0002598418716388551,-0.0016803475227789022,-0.0002598418716388551,-0.0009700809,-0.00014843103,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
