sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
47,0.0010418443465823658,-0.0006232223564029484,0.0027568553123273887,-0.0017483390943198174,0.0027568553123273887,-0.0017483390943198174,0.0062385416,-0.004093825,0.0,0.0,[],0.12808217,60.762394,60.808147,0.14140469,16.296,11.99
48,0.0010992840428298224,-0.0006597814071074028,0.0028719848123728298,-0.001827952535222721,0.0028719848123728298,-0.001827952535222721,0.005756475,-0.003980672,0.0,0.0,[],0.12808073,60.762394,60.808147,0.14140469,16.296,11.99
49,0.0011589726118472756,-0.0006979008803455147,0.002984428450872656,-0.0019059736619055911,0.002984428450872656,-0.0019059736619055911,0.005622182,-0.0039010565,0.0,0.0,[],0.128079,60.762394,60.808147,0.14140469,16.296,11.99
50,0.0012208795421975085,-0.0007375399165221099,0.0030953465175116435,-0.0019819518088297627,0.0030953465175116435,-0.0019819518088297627,0.0055459035,-0.0037989074,0.0,0.0,[],0.12807697,60.762394,60.808147,0.14140469,16.296,11.99
51,0.0012849531542087791,-0.0007786681117386253,0.00320368060056353,-0.0020564097608257725,0.00320368060056353,-0.0020564097608257725,0.0054167043,-0.0037228977,0.0,0.0,[],0.1280746,60.762394,60.808147,0.14140469,16.296,11.99
52,0.0013511155506057552,-0.0008212583134309172,0.003308119819848798,-0.0021295100846145942,0.003308119819848798,-0.0021295100846145942,0.005221961,-0.0036550162,0.0,0.0,[],0.12807187,60.762394,60.808147,0.14140469,16.296,11.99
53,0.0014193180562506317,-0.0008652812520222144,0.0034101252822438255,-0.0022011469295648567,0.0034101252822438255,-0.0022011469295648567,0.005100273,-0.0035818424,0.0,0.0,[],0.12806876,60.762394,60.808147,0.14140469,16.296,11.99
54,0.0014895131127195785,-0.0009107082353557418,0.003509752823447343,-0.002271349166676373,0.003509752823447343,-0.002271349166676373,0.004981377,-0.003510112,0.0,0.0,[],0.12806524,60.762394,60.808147,0.14140469,16.296,11.99
55,0.0015616880877860242,-0.0009575083301342604,0.0036087487533222884,-0.002340004738925927,0.0036087487533222884,-0.002340004738925927,0.0049497965,-0.0034327786,0.0,0.0,[],0.12806128,60.762394,60.808147,0.14140469,16.296,11.99
56,0.001635796803129779,-0.0010056540189771115,0.003705435767187737,-0.0024072844421425543,0.003705435767187737,-0.0024072844421425543,0.0048343507,-0.003363985,0.0,0.0,[],0.12805684,60.762394,60.808147,0.14140469,16.296,11.99
57,0.0017117941390824855,-0.0010551183274355937,0.0037998667976353317,-0.0024732154229241132,0.0037998667976353317,-0.0024732154229241132,0.0047215517,-0.003296549,0.0,0.0,[],0.12805194,60.762394,60.808147,0.14140469,16.296,11.99
58,0.001789635992863623,-0.0011058748092955286,0.0038920926890568808,-0.0025378240929967433,0.0038920926890568808,-0.0025378240929967433,0.0046112947,-0.0032304337,0.0,0.0,[],0.1280465,60.762394,60.808147,0.14140469,16.296,11.99
59,0.001869374641646573,-0.0011578973197129017,0.003986932439147495,-0.0026011255208686634,0.003986932439147495,-0.0026011255208686634,0.0047419877,-0.0031650716,0.0,0.0,[],0.12804052,60.762394,60.808147,0.14140469,16.296,11.99
60,0.0019509719304551254,-0.0012111709573810003,0.004079864440427627,-0.0026636818834049336,0.004079864440427627,-0.0026636818834049336,0.0046466,-0.0031278182,0.0,0.0,[],0.128034,60.762394,60.808147,0.14140469,16.296,11.99
61,0.0020343843543014373,-0.0012656706003099315,0.004170621192315593,-0.002724982146446564,0.004170621192315593,-0.002724982146446564,0.0045378376,-0.003065013,0.0,0.0,[],0.12802687,60.762394,60.808147,0.14140469,16.296,11.99
62,0.0021195694175185054,-0.0013213716158907117,0.0042592531608534046,-0.002785050779039011,0.0042592531608534046,-0.002785050779039011,0.0044315984,-0.0030034317,0.0,0.0,[],0.12801914,60.762394,60.808147,0.14140469,16.296,11.99
63,0.0022065095325160657,-0.0013782492046038896,0.004347005749878008,-0.0028438794356588915,0.004347005749878008,-0.0028438794356588915,0.0043876297,-0.0029414329,0.0,0.0,[],0.12801075,60.762394,60.808147,0.14140469,16.296,11.99
64,0.0022951635752906444,-0.001436279698268663,0.004432702138728928,-0.0029015246832386765,0.004432702138728928,-0.0029015246832386765,0.0042848196,-0.0028822625,0.0,0.0,[],0.12800169,60.762394,60.808147,0.14140469,16.296,11.99
65,0.002385504347730603,-0.0014954397362589588,0.004517038621997926,-0.002958001899514784,0.004517038621997926,-0.002958001899514784,0.004216824,-0.0028238609,0.0,0.0,[],0.12799194,60.762394,60.808147,0.14140469,16.296,11.99
66,0.0024774922801225337,-0.001555706565127366,0.004599396619596519,-0.0030133414434203587,0.004599396619596519,-0.0030133414434203587,0.0041179,-0.0027669773,0.0,0.0,[],0.12798148,60.762394,60.808147,0.14140469,16.296,11.99
67,0.0025710679741678183,-0.0016170619622380398,0.004678784702264238,-0.0030677698555336974,0.004678784702264238,-0.0030677698555336974,0.0039694044,-0.0027214207,0.0,0.0,[],0.12797028,60.762394,60.808147,0.14140469,16.296,11.99
68,0.0026662447726630493,-0.0016794835533664807,0.00475883992476156,-0.003121079556422046,0.00475883992476156,-0.003121079556422046,0.004002761,-0.002665485,0.0,0.0,[],0.1279583,60.762394,60.808147,0.14140469,16.296,11.99
69,0.0027629661585888247,-0.001742949555969062,0.00483606929628877,-0.003173300130129064,0.00483606929628877,-0.003173300130129064,0.0038614688,-0.0026110287,0.0,0.0,[],0.12794553,60.762394,60.808147,0.14140469,16.296,11.99
70,0.002861199374274293,-0.0018074385991030792,0.004911660784273408,-0.0032244521567008633,0.004911660784273408,-0.0032244521567008633,0.0037795745,-0.0025576013,0.0,0.0,[],0.12793195,60.762394,60.808147,0.14140469,16.296,11.99
71,0.0029609087758217362,-0.0018729299855067437,0.004985470077372156,-0.0032745693201832182,0.004985470077372156,-0.0032745693201832182,0.003690465,-0.0025058582,0.0,0.0,[],0.12791751,60.762394,60.808147,0.14140469,16.296,11.99
72,0.0030620252232984066,-0.0019394032754871658,0.005055822373833507,-0.003323664499021106,0.005055822373833507,-0.003323664499021106,0.003517615,-0.002454759,0.0,0.0,[],0.12790221,60.762394,60.808147,0.14140469,16.296,11.99
73,0.0031645267917701867,-0.0020068381165174285,0.005125078423589002,-0.003371742051513138,0.005125078423589002,-0.003371742051513138,0.0034628026,-0.0024038777,0.0,0.0,[],0.12788601,60.762394,60.808147,0.14140469,16.296,11.99
74,0.0032683807638750305,-0.0020752149888039638,0.005192698605242185,-0.003418843614326761,0.005192698605242185,-0.003418843614326761,0.0033810092,-0.0023550782,0.0,0.0,[],0.12786889,60.762394,60.808147,0.14140469,16.296,11.99
75,0.0033735573422382014,-0.002144514591996085,0.005258828918158542,-0.003464980159606057,0.005258828918158542,-0.003464980159606057,0.0033065157,-0.0023068273,0.0,0.0,[],0.12785082,60.762394,60.808147,0.14140469,16.296,11.99
76,0.00348000151145243,-0.0022147192004058525,0.005322208460711408,-0.0035102304204883694,0.005322208460711408,-0.0035102304204883694,0.0031689773,-0.0022625132,0.0,0.0,[],0.12783177,60.762394,60.808147,0.14140469,16.296,11.99
77,0.003587647780477711,-0.0022858120775117643,0.005382313451264054,-0.0035546438552955806,0.005382313451264054,-0.0035546438552955806,0.0030052497,-0.0022206719,0.0,0.0,[],0.12781173,60.762394,60.808147,0.14140469,16.296,11.99
