sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
53,-0.0011361343610406041,-0.0001762145608154242,-0.0017540964581712615,-0.00027113386977362097,-0.0017540964581712615,-0.00027113386977362097,-0.0008937124,-0.00013689791,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
54,-0.001171566522352805,-0.00018169090119044993,-0.001771608065610053,-0.00027381701875128783,-0.001771608065610053,-0.00027381701875128783,-0.00087558036,-0.00013415745,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
55,-0.001207341808913043,-0.0001872198302999095,-0.0017887643280118937,-0.0002764464554729784,-0.0017887643280118937,-0.0002764464554729784,-0.0008578131,-0.00013147184,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
56,-0.0012434532594124905,-0.0001928002953991381,-0.0018055725249723764,-0.0002790232549614302,-0.0018055725249723764,-0.0002790232549614302,-0.00084040983,-0.00012883998,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
57,-0.0012798940520951875,-0.00019843126469822888,-0.0018220396341348533,-0.00028154846495453967,-0.0018220396341348533,-0.00028154846495453967,-0.0008233555,-0.00012626051,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
58,-0.001316657504758041,-0.0002041117272301562,-0.0018381726331426762,-0.00028402312659636664,-0.0018381726331426762,-0.00028402312659636664,-0.00080665,-0.00012373309,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
59,-0.0013537181016363322,-0.00020984681969366643,-0.0018530298439145554,-0.00028675462317551137,-0.0018530298439145554,-0.00028675462317551137,-0.00074286055,-0.00013657483,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
60,-0.0013910698125800993,-0.00021563544873515634,-0.0018675855471883551,-0.0002894314520744956,-0.0018675855471883551,-0.0002894314520744956,-0.00072778517,-0.00013384144,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
61,-0.0014287067305485837,-0.00022147654284253797,-0.001881845898424217,-0.0002920547053690825,-0.001881845898424217,-0.0002920547053690825,-0.0007130176,-0.00013116267,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
62,-0.0014666230681541494,-0.0002273690520132731,-0.0018958168802782893,-0.0002946254585367569,-0.0018958168802782893,-0.0002946254585367569,-0.0006985491,-0.00012853766,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
63,-0.0015048131563344216,-0.00023331194724050868,-0.001909504409013607,-0.00029714476136177836,-0.001909504409013607,-0.00029714476136177836,-0.00068437646,-0.00012596515,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
64,-0.0015432714406415473,-0.0002393042200674244,-0.0019229142153562861,-0.00029961364134578616,-0.0019229142153562861,-0.00029961364134578616,-0.0006704903,-0.000123444,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
65,-0.0015819924795687258,-0.0002453448822234349,-0.0019360519463589299,-0.0003020331078005256,-0.0019360519463589299,-0.0003020331078005256,-0.00065688655,-0.000120973324,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
66,-0.0016209709399845453,-0.00025143296523310704,-0.0019489230207909713,-0.0003044041504836059,-0.0019489230207909713,-0.0003044041504836059,-0.00064355374,-0.00011855214,0.0,0.0,[],0.01,1.1271935,-60,0.13442126,-10.924,-16.93
