sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
60,0.0019521295210142852,7.673298990766854e-05,0.0027326342460582964,0.00010816012786563078,0.0027326342460582964,0.00010816012786563078,0.0,0.0,[],0.1273075248921477,31.16971,31.23961,0.0,0.0,0.0
61,0.0020104049631481757,7.904186853238572e-05,0.0029137721066945232,0.00011544393123585905,0.0029137721066945232,0.00011544393123585905,0.0,0.0,[],0.1273075,31.16971,31.23961,0.0,0.0,0.0
62,0.002072188976817415,8.149139489205483e-05,0.003089200683461968,0.00012247631798345537,0.003089200683461968,0.00012247631798345537,0.0,0.0,[],0.12730744,31.16971,31.23961,0.0,0.0,0.0
63,0.0021373561521613738,8.407899711755819e-05,0.003258358767197933,0.00012938011127516802,0.003258358767197933,0.00012938011127516802,0.0,0.0,[],0.12730733,31.16971,31.23961,0.0,0.0,0.0
64,0.00220580762172176,8.68011275429126e-05,0.0034225734780193307,0.00013610652126772038,0.0034225734780193307,0.00013610652126772038,0.0,0.0,[],0.12730712,31.16971,31.23961,0.0,0.0,0.0
65,0.002277453194183181,8.965480345295875e-05,0.0035822786230710335,0.00014268379550230748,0.0035822786230710335,0.00014268379550230748,0.0,0.0,[],0.12730679,31.16971,31.23961,0.0,0.0,0.0
66,0.002352205134593532,9.263711293669987e-05,0.003737597020517569,0.00014911547418705595,0.003737597020517569,0.00014911547418705595,0.0,0.0,[],0.12730633,31.16971,31.23961,0.0,0.0,0.0
67,0.002429994126068777,9.574671517157187e-05,0.003889449573762249,0.0001554801117436,0.003889449573762249,0.0001554801117436,0.0,0.0,[],0.1273057,31.16971,31.23961,0.0,0.0,0.0
68,0.0025107467358611753,9.898070341250788e-05,0.0040376304896199144,0.00016169941204680072,0.0040376304896199144,0.00016169941204680072,0.0,0.0,[],0.12730488,31.16971,31.23961,0.0,0.0,0.0
69,0.0025944011357933046,0.00010233614808612403,0.004182719996606465,0.0001677722336808074,0.004182719996606465,0.0001677722336808074,0.0,0.0,[],0.12730384,31.16971,31.23961,0.0,0.0,0.0
